business_name,address,phone,website,category,source,email
Hotel Nest International,"
Hotel Nest International, 11, Tarak Dutta Rd, near Quest Mall, Lower Range, Park Circus, Ballygunge, Kolkata, West Bengal 700019",03322903707,http://www.hotel-nest.com/,hotel,Google Maps,sales@hotel-nest.com
Hotel Afsha,"
22, Marquis St, New Market Area, Janbazar, Taltala, Kolkata, West Bengal 700016",09836505857,http://www.hotelafsha.com/,hotel,Google Maps,hotelafsha786@gmail.com
Hotel Saad,"
47A, 3/1, Tiljala Rd, Ballygunge, Kolkata, West Bengal 700046",08584033680,http://www.hotelsaad.com/,hotel,Google Maps,
"The Oberoi Grand, Kolkata","
15, Jawaharlal Nehru Rd, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700013",,https://www.oberoihotels.com/hotels-in-kolkata/?utm_source=GMBlisting&utm_medium=organic,hotel,Google Maps,Generalmanager.kolkata@oberoihotels.com
Hotel Platinum,"
14, Syed Amir Ali Ave, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017",08961050299,http://hotelplatinum.co.in/,hotel,Google Maps,info@hotelplatinum.com
Super Townhouse 229 Hotel Mannat International Near Science City Topsia Biswa Bangla Mela Pranga,"
81/1, Tiljala Rd, near bye pass connector, Kustia, Kolkata, West Bengal 700046",01246201612,https://www.oyorooms.com/104372/?utm_source=Google&utm_medium=GMB,hotel,Google Maps,john@email.com
The Premier Inn,"
Pataka House, Neuroscience hospital, 9, Ripon Street Park Street Esplanade, Eden Garden, Ho Chi Minh Sarani New Market, St. Xavier's College, 9, Ripon St, near Tinguniya Park, Mullick Bazar, Taltala, Kolkata, West Bengal 700016",09051078699,https://thepremierinn.in/,hotel,Google Maps,thepremier.inn@gmail.com
The Elite Apartment Hotel,"
441, Hussainpur Main Rd, Madurdaha, Hussainpur, Kolkata, West Bengal 700107",08420250504,https://hotels.eglobe-solutions.com/theeliteapartmentsgha/booking/gha/NBAHOzD39p4S1YuItCP5?roomId,hotel,Google Maps,
Continental Guest House,"
Entrance from, 30A Mirza Ghalib Street, Sudder St, opposite Fire Brigade Head Office, Kolkata, West Bengal 700016",09830055677,,hotel,Google Maps,
"ITC Royal Bengal, a Luxury Collection Hotel, Kolkata","
1, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700046",03344464646,https://www.marriott.com/en-us/hotels/cculr-itc-royal-bengal-a-luxury-collection-hotel-kolkata/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,hotel,Google Maps,
